2026-04-04 22:02:22,749 | INFO | Progress: (0/520) | KDE: t-student_adaptive_df=5 | Dim: 2 | VAR(q): 1
2026-04-04 22:03:00,936 | INFO | Progress: (1/520) | KDE: t-student_adaptive_df=5 | Dim: 2 | VAR(q): 2
2026-04-04 22:03:39,180 | INFO | Progress: (2/520) | KDE: t-student_adaptive_df=5 | Dim: 2 | VAR(q): 3
2026-04-04 22:04:17,569 | INFO | Progress: (3/520) | KDE: t-student_adaptive_df=5 | Dim: 2 | VAR(q): 4
2026-04-04 22:04:55,859 | INFO | Progress: (4/520) | KDE: t-student_adaptive_df=5 | Dim: 3 | VAR(q): 1
2026-04-04 22:05:34,103 | INFO | Progress: (5/520) | KDE: t-student_adaptive_df=5 | Dim: 3 | VAR(q): 2
2026-04-04 22:06:12,439 | INFO | Progress: (6/520) | KDE: t-student_adaptive_df=5 | Dim: 3 | VAR(q): 3
2026-04-04 22:06:50,732 | INFO | Progress: (7/520) | KDE: t-student_adaptive_df=5 | Dim: 3 | VAR(q): 4
2026-04-04 22:07:28,952 | INFO | Progress: (8/520) | KDE: t-student_adaptive_df=5 | Dim: 4 | VAR(q): 1
2026-04-04 22:08:07,154 | INFO | Progress: (9/520) | KDE: t-student_adaptive_df=5 | Dim: 4 | VAR(q): 2
2026-04-04 22:08:45,382 | INFO | Progress: (10/520) | KDE: t-student_adaptive_df=5 | Dim: 4 | VAR(q): 3
2026-04-04 22:09:23,625 | INFO | Progress: (11/520) | KDE: t-student_adaptive_df=5 | Dim: 4 | VAR(q): 4
2026-04-04 22:10:01,789 | INFO | Progress: (12/520) | KDE: t-student_adaptive_df=5 | Dim: 5 | VAR(q): 1
2026-04-04 22:10:39,955 | INFO | Progress: (13/520) | KDE: t-student_adaptive_df=5 | Dim: 5 | VAR(q): 2
2026-04-04 22:11:18,102 | INFO | Progress: (14/520) | KDE: t-student_adaptive_df=5 | Dim: 5 | VAR(q): 3
2026-04-04 22:11:56,304 | INFO | Progress: (15/520) | KDE: t-student_adaptive_df=5 | Dim: 5 | VAR(q): 4
2026-04-04 22:12:34,629 | INFO | Progress: (16/520) | KDE: t-student_adaptive_df=5 | Dim: 6 | VAR(q): 1
2026-04-04 22:13:12,811 | INFO | Progress: (17/520) | KDE: t-student_adaptive_df=5 | Dim: 6 | VAR(q): 2
2026-04-04 22:13:50,979 | INFO | Progress: (18/520) | KDE: t-student_adaptive_df=5 | Dim: 6 | VAR(q): 3
2026-04-04 22:14:29,199 | INFO | Progress: (19/520) | KDE: t-student_adaptive_df=5 | Dim: 6 | VAR(q): 4
2026-04-04 22:15:11,988 | INFO | Progress: (20/520) | KDE: t-student_adaptive_df=5 | Dim: 2 | VAR(q): 1
2026-04-04 22:15:48,170 | INFO | Progress: (21/520) | KDE: t-student_adaptive_df=5 | Dim: 2 | VAR(q): 2
2026-04-04 22:16:24,449 | INFO | Progress: (22/520) | KDE: t-student_adaptive_df=5 | Dim: 2 | VAR(q): 3
2026-04-04 22:17:00,775 | INFO | Progress: (23/520) | KDE: t-student_adaptive_df=5 | Dim: 2 | VAR(q): 4
2026-04-04 22:17:37,064 | INFO | Progress: (24/520) | KDE: t-student_adaptive_df=5 | Dim: 3 | VAR(q): 1
2026-04-04 22:18:13,358 | INFO | Progress: (25/520) | KDE: t-student_adaptive_df=5 | Dim: 3 | VAR(q): 2
2026-04-04 22:18:49,669 | INFO | Progress: (26/520) | KDE: t-student_adaptive_df=5 | Dim: 3 | VAR(q): 3
2026-04-04 22:19:26,007 | INFO | Progress: (27/520) | KDE: t-student_adaptive_df=5 | Dim: 3 | VAR(q): 4
2026-04-04 22:20:02,294 | INFO | Progress: (28/520) | KDE: t-student_adaptive_df=5 | Dim: 4 | VAR(q): 1
2026-04-04 22:20:38,570 | INFO | Progress: (29/520) | KDE: t-student_adaptive_df=5 | Dim: 4 | VAR(q): 2
2026-04-04 22:21:14,855 | INFO | Progress: (30/520) | KDE: t-student_adaptive_df=5 | Dim: 4 | VAR(q): 3
2026-04-04 22:21:51,109 | INFO | Progress: (31/520) | KDE: t-student_adaptive_df=5 | Dim: 4 | VAR(q): 4
2026-04-04 22:22:26,789 | INFO | Progress: (32/520) | KDE: t-student_adaptive_df=5 | Dim: 5 | VAR(q): 1
2026-04-04 22:23:02,361 | INFO | Progress: (33/520) | KDE: t-student_adaptive_df=5 | Dim: 5 | VAR(q): 2
2026-04-04 22:23:37,879 | INFO | Progress: (34/520) | KDE: t-student_adaptive_df=5 | Dim: 5 | VAR(q): 3
2026-04-04 22:24:12,998 | INFO | Progress: (35/520) | KDE: t-student_adaptive_df=5 | Dim: 5 | VAR(q): 4
2026-04-04 22:24:48,456 | INFO | Progress: (36/520) | KDE: t-student_adaptive_df=5 | Dim: 6 | VAR(q): 1
2026-04-04 22:25:24,043 | INFO | Progress: (37/520) | KDE: t-student_adaptive_df=5 | Dim: 6 | VAR(q): 2
2026-04-04 22:25:59,299 | INFO | Progress: (38/520) | KDE: t-student_adaptive_df=5 | Dim: 6 | VAR(q): 3
2026-04-04 22:26:34,857 | INFO | Progress: (39/520) | KDE: t-student_adaptive_df=5 | Dim: 6 | VAR(q): 4
2026-04-04 22:27:12,317 | INFO | Progress: (40/520) | KDE: t-student_adaptive_df=5 | Dim: 2 | VAR(q): 1
2026-04-04 22:27:48,174 | INFO | Progress: (41/520) | KDE: t-student_adaptive_df=5 | Dim: 2 | VAR(q): 2
2026-04-04 22:28:23,919 | INFO | Progress: (42/520) | KDE: t-student_adaptive_df=5 | Dim: 2 | VAR(q): 3
2026-04-04 22:28:59,813 | INFO | Progress: (43/520) | KDE: t-student_adaptive_df=5 | Dim: 2 | VAR(q): 4
2026-04-04 22:29:35,800 | INFO | Progress: (44/520) | KDE: t-student_adaptive_df=5 | Dim: 3 | VAR(q): 1
2026-04-04 22:30:11,715 | INFO | Progress: (45/520) | KDE: t-student_adaptive_df=5 | Dim: 3 | VAR(q): 2
2026-04-04 22:30:47,748 | INFO | Progress: (46/520) | KDE: t-student_adaptive_df=5 | Dim: 3 | VAR(q): 3
2026-04-04 22:31:23,650 | INFO | Progress: (47/520) | KDE: t-student_adaptive_df=5 | Dim: 3 | VAR(q): 4
2026-04-04 22:31:59,584 | INFO | Progress: (48/520) | KDE: t-student_adaptive_df=5 | Dim: 4 | VAR(q): 1
2026-04-04 22:32:35,490 | INFO | Progress: (49/520) | KDE: t-student_adaptive_df=5 | Dim: 4 | VAR(q): 2
2026-04-04 22:33:11,387 | INFO | Progress: (50/520) | KDE: t-student_adaptive_df=5 | Dim: 4 | VAR(q): 3
2026-04-04 22:33:47,273 | INFO | Progress: (51/520) | KDE: t-student_adaptive_df=5 | Dim: 4 | VAR(q): 4
2026-04-04 22:34:23,166 | INFO | Progress: (52/520) | KDE: t-student_adaptive_df=5 | Dim: 5 | VAR(q): 1
2026-04-04 22:34:58,972 | INFO | Progress: (53/520) | KDE: t-student_adaptive_df=5 | Dim: 5 | VAR(q): 2
2026-04-04 22:35:34,933 | INFO | Progress: (54/520) | KDE: t-student_adaptive_df=5 | Dim: 5 | VAR(q): 3
